Assignee,Image Name,HAS WIND TURBINE? (Y(1)/N(0)),ANNOTATED BY,VERIFIED BY
,EM_40.jpg',1,Alena,Caroline
,EM_54.jpg',1,Alena,Caroline
,EM_1036.jpg',1,Alena,Caroline
,EM_1182.jpg',0,Alena,Caroline
,EM_1412.jpg',0,Alena,Caroline
,EM_1612.jpg',0,Alena,Caroline
,EM_1644.jpg',0,Alena,Caroline
,EM_1663.jpg',0,Alena,Caroline
,EM_2734.jpg',1,Alena,Caroline
,EM_2752.jpg',1,Alena,Caroline
,EM_2765.jpg',1,Alena,Caroline
,EM_2803.jpg',1,Alena,Caroline
,EM_3133.jpg',0,Alena,Caroline
,EM_3140.jpg',0,Alena,Caroline
,EM_3173.jpg',1,Alena,Caroline
,EM_3196.jpg',1,Alena,Caroline
,EM_3207.jpg',1,Alena,Caroline
,EM_3211.jpg',1,Alena,Caroline
,EM_3366.jpg',1,Alena,Caroline
,EM_3393.jpg',1,Alena,Caroline
,EM_3433.jpg',1,Alena,Caroline
,EM_3450.jpg',1,Alena,Caroline
,EM_3451.jpg',1,Alena,Caroline
,EM_3463.jpg',1,Alena,Caroline
,EM_3466.jpg',1,Alena,Caroline
,EM_3848.jpg',1,Alena,Caroline
,EM_3890.jpg',1,Alena,Caroline
,EM_3893.jpg',1,Alena,Caroline
,EM_4058.jpg',0,Alena,Caroline
,EM_4371.jpg',1,Alena,Caroline
,EM_4395.jpg',1,Alena,Caroline
,EM_4399.jpg',1,Alena,Caroline
,EM_4486.jpg',1,Alena,Caroline
,EM_4547.jpg',0,Alena,Caroline
,EM_4586.jpg',0,Alena,Caroline
,EM_4760.jpg',0,Alena,Caroline
,EM_4786.jpg',0,Alena,Caroline
,EM_4885.jpg',1,Alena,Caroline
,EM_4922.jpg',1,Alena,Caroline
,EM_5045.jpg',1,Alena,Caroline
,EM_5172.jpg',0,Alena,Caroline
,EM_5553.jpg',1,Alena,Caroline
,EM_5970.jpg',1,Alena,Caroline
,EM_6066.jpg',0,Alena,Caroline
,EM_6099.jpg',0,Alena,Caroline
,EM_6704.jpg',0,Alena,Caroline
,EM_8395.jpg',1,Alena,Caroline
,EM_8414.jpg',1,Alena,Caroline
,EM_8417.jpg',1,Alena,Caroline
,EM_8632.jpg',1,Alena,Caroline
,EM_8642.jpg',1,Alena,Caroline
,EM_8677.jpg',1,Alena,Caroline
,EM_8866.jpg',1,Alena,Caroline
,EM_8916.jpg',1,Alena,Caroline
,EM_8949.jpg',1,Alena,Caroline
,EM_9602.jpg',1,Alena,Caroline
,EM_10122.jpg',0,Alena,Caroline
,EM_10313.jpg',1,Alena,Caroline
,EM_10454.jpg',1,Alena,Caroline
,EM_10519.jpg',1,Alena,Caroline
,EM_10520.jpg',1,Alena,Caroline
,EM_10551.jpg',1,Alena,Caroline
,EM_11521.jpg',1,Alena,Caroline
,EM_11523.jpg',1,Alena,Caroline
,EM_11548.jpg',1,Alena,Caroline
,EM_11734.jpg',1,Alena,Caroline
,EM_11884.jpg',1,Alena,Caroline
,EM_13062.jpg',1,Alena,Caroline
,EM_13215.jpg',1,Alena,Caroline
,EM_13456.jpg',1,Alena,Caroline
,EM_13500.jpg',1,Alena,Caroline
,EM_13618.jpg',1,Alena,Caroline
,EM_13620.jpg',1,Alena,Caroline
,EM_13789.jpg',1,Alena,Caroline
,EM_13843.jpg',1,Alena,Caroline
,EM_14249.jpg',1,Alena,Caroline
,EM_14330.jpg',1,Alena,Caroline
,EM_14357.jpg',1,Alena,Caroline
,EM_14368.jpg',1,Alena,Caroline
,EM_14393.jpg',1,Alena,Caroline
,EM_14525.jpg',0,Alena,Caroline
,EM_15858.jpg',1,Alena,Caroline
,EM_15979.jpg',1,Alena,Caroline
,EM_16033.jpg',1,Alena,Caroline
,EM_16050.jpg',1,Alena,Caroline
,EM_16069.jpg',1,Alena,Caroline
,EM_16823.jpg',1,Alena,Caroline
,EM_16858.jpg',1,Alena,Caroline
,EM_16878.jpg',1,Alena,Caroline
,EM_16907.jpg',1,Alena,Caroline
,EM_17044.jpg',1,Alena,Caroline
,EM_17071.jpg',1,Alena,Caroline
,EM_17080.jpg',1,Alena,Caroline
,EM_17099.jpg',0,Alena,Caroline
,EM_17153.jpg',0,Alena,Caroline
,EM_17156.jpg',0,Alena,Caroline
,EM_17552.jpg',1,Alena,Caroline
,EM_17636.jpg',1,Alena,Caroline
,EM_17640.jpg',1,Alena,Caroline
,EM_17674.jpg',1,Alena,Caroline
,EM_18252.jpg',1,Alena,Caroline
,EM_18267.jpg',1,Alena,Caroline
,EM_18556.jpg',1,Alena,Caroline
,EM_18669.jpg',1,Alena,Caroline
,EM_18684.jpg',1,Alena,Caroline
,EM_18732.jpg',1,Alena,Caroline
,EM_18749.jpg',1,Alena,Caroline
,EM_18804.jpg',1,Alena,Caroline
,EM_18819.jpg',1,Alena,Caroline
,EM_18906.jpg',1,Alena,Caroline
,EM_18916.jpg',1,Alena,Caroline
,EM_18979.jpg',1,Alena,Caroline
,EM_19155.jpg',1,Alena,Caroline
,EM_19288.jpg',1,Alena,Caroline
,EM_19392.jpg',1,Alena,Caroline
,EM_20351.jpg',1,Alena,Caroline
,EM_20804.jpg',1,Alena,Caroline
,EM_20836.jpg',1,Alena,Caroline
,EM_20844.jpg',1,Alena,Caroline
,EM_20852.jpg',1,Alena,Caroline
,EM_20894.jpg',1,Alena,Caroline
,EM_20928.jpg',1,Alena,Caroline
,EM_21601.jpg',1,Alena,Caroline
,EM_21712.jpg',1,Alena,Caroline
,EM_22169.jpg',0,Alena,Caroline
,EM_22179.jpg',0,Alena,Caroline
,EM_22707.jpg',1,Alena,Caroline
,EM_22919.jpg',1,Alena,Caroline
,EM_22966.jpg',1,Alena,Caroline
,EM_23179.jpg',1,Alena,Caroline
,EM_23184.jpg',1,Alena,Caroline
,EM_23193.jpg',1,Alena,Caroline
,EM_23194.jpg',1,Alena,Caroline
,EM_23203.jpg',1,Alena,Caroline
,EM_23231.jpg',1,Alena,Caroline
,EM_23311.jpg',0,Alena,Caroline
,EM_24073.jpg',1,Alena,Caroline
,EM_24083.jpg',1,Alena,Caroline
,EM_24215.jpg',1,Alena,Caroline
,EM_24263.jpg',1,Alena,Caroline
,EM_24681.jpg',1,Alena,Caroline
,EM_24702.jpg',1,Alena,Caroline
,EM_24711.jpg',1,Alena,Caroline
,EM_24766.jpg',1,Alena,Caroline
,EM_25682.jpg',1,Alena,Caroline
,EM_25720.jpg',1,Alena,Caroline
,EM_25789.jpg',0,Alena,Caroline
,EM_25791.jpg',0,Alena,Caroline
,EM_26194.jpg',1,Alena,Caroline
,EM_26200.jpg',1,Alena,Caroline
,EM_26374.jpg',0,Alena,Caroline
,EM_27724.jpg',1,Alena,Caroline
,EM_28820.jpg',0,Alena,Caroline
,EM_28953.jpg',1,Alena,Caroline
,EM_28972.jpg',0,Alena,Caroline
,EM_28991.jpg',1,Alena,Caroline
,EM_29068.jpg',1,Alena,Caroline
,EM_29107.jpg',1,Alena,Caroline
,EM_29153.jpg',1,Alena,Caroline
,EM_29163.jpg',1,Alena,Caroline
,EM_29213.jpg',1,Alena,Caroline
,EM_29231.jpg',1,Alena,Caroline
,EM_29266.jpg',1,Alena,Caroline
,EM_29636.jpg',1,Alena,Caroline
,EM_30010.jpg',1,Alena,Caroline
,EM_30061.jpg',1,Alena,Caroline
,EM_30096.jpg',1,Alena,Caroline
,EM_31926.jpg',1,Alena,Caroline
,EM_31927.jpg',1,Alena,Caroline
,EM_31956.jpg',1,Alena,Caroline
,EM_32009.jpg',1,Alena,Caroline
,EM_33740.jpg',1,Alena,Caroline
,EM_33766.jpg',1,Caroline,Alena
,EM_33884.jpg',1,Caroline,Alena
,EM_33933.jpg',1,Caroline,Alena
,EM_34004.jpg',1,Caroline,Alena
,EM_34047.jpg',0,Caroline,Alena
,EM_34248.jpg',0,Caroline,Alena
,EM_35781.jpg',1,Caroline,Alena
,EM_35782.jpg',1,Caroline,Alena
,EM_35785.jpg',1,Caroline,Alena
,EM_35822.jpg',1,Caroline,Alena
,EM_35856.jpg',1,Caroline,Alena
,EM_35943.jpg',1,Caroline,Alena
,EM_35957.jpg',1,Caroline,Alena
,EM_36439.jpg',1,Caroline,Alena
,EM_36448.jpg',1,Caroline,Alena
,EM_36452.jpg',1,Caroline,Alena
,EM_37221.jpg',1,Caroline,Alena
