Assignee,Image Name,HAS WIND TURBINE? (Y(1)/N(0)),ANNOTATED BY,VERIFIED BY
,MW_216.jpg',1,Frankie,
,MW_252.jpg',1,Frankie,
,MW_1833.jpg',0,Frankie,
,MW_2040.jpg',1,Frankie,
,MW_2063.jpg',1,Frankie,
,MW_2083.jpg',1,Frankie,
,MW_2084.jpg',1,Frankie,
,MW_2550.jpg',1,Frankie,
,MW_2572.jpg',1,Frankie,
,MW_2604.jpg',1,Frankie,
,MW_2681.jpg',1,Frankie,
,MW_3948.jpg',1,Frankie,
,MW_3962.jpg',1,Frankie,
,MW_4601.jpg',1,Frankie,
,MW_4602.jpg',1,Frankie,
,MW_4654.jpg',1,Frankie,
,MW_4696.jpg',1,Frankie,
,MW_5066.jpg',1,Frankie,
,MW_5190.jpg',1,Frankie,
,MW_5471.jpg',1,Frankie,
,MW_6246.jpg',1,Frankie,
,MW_6251.jpg',1,Frankie,
,MW_6303.jpg',1,Frankie,
,MW_6406.jpg',1,Frankie,
,MW_6634.jpg',1,Frankie,
,MW_6649.jpg',1,Frankie,
,MW_6668.jpg',1,Frankie,
,MW_7022.jpg',1,Frankie,
,MW_7395.jpg',1,Frankie,
,MW_7612.jpg',1,Frankie,
,MW_7675.jpg',1,Frankie,
,MW_8020.jpg',1,Frankie,
,MW_9409.jpg',1,Frankie,
,MW_9447.jpg',1,Frankie,
,MW_9516.jpg',1,Frankie,
,MW_9574.jpg',1,Frankie,
,MW_10590.jpg',1,Frankie,
,MW_10662.jpg',1,Frankie,
,MW_11413.jpg',1,Frankie,
,MW_11461.jpg',1,Frankie,
,MW_11481.jpg',1,Frankie,
,MW_12220.jpg',1,Frankie,
,MW_12314.jpg',1,Frankie,
,MW_12382.jpg',1,Frankie,
,MW_12407.jpg',1,Frankie,
,MW_12431.jpg',1,Frankie,
,MW_12451.jpg',1,Frankie,
,MW_12520.jpg',1,Frankie,
,MW_12525.jpg',1,Frankie,
,MW_12555.jpg',1,Frankie,
,MW_12571.jpg',1,Frankie,
,MW_12653.jpg',1,Frankie,
,MW_13239.jpg',0,Frankie,
,MW_13360.jpg',1,Frankie,
,MW_13704.jpg',0,Frankie,
,MW_14085.jpg',1,Frankie,
,MW_14120.jpg',0,Frankie,
,MW_14136.jpg',0,Frankie,
,MW_14174.jpg',0,Frankie,
,MW_14473.jpg',1,Frankie,
,MW_14781.jpg',0,Frankie,
,MW_14798.jpg',0,Frankie,
,MW_14802.jpg',0,Frankie,
,MW_15784.jpg',0,Frankie,
,MW_15831.jpg',0,Frankie,
,MW_16526.jpg',1,Frankie,
,MW_16556.jpg',1,Frankie,
,MW_16558.jpg',1,Frankie,
,MW_16667.jpg',1,Frankie,
,MW_16736.jpg',1,Frankie,
,MW_16975.jpg',0,Frankie,
,MW_16980.jpg',0,Frankie,
,MW_17202.jpg',1,Frankie,
,MW_17994.jpg',1,Frankie,
,MW_18034.jpg',1,Frankie,
,MW_18140.jpg',1,Frankie,
,MW_19029.jpg',0,Frankie,
,MW_19093.jpg',0,Frankie,
,MW_19183.jpg',1,Frankie,
,MW_19225.jpg',1,Frankie,
,MW_19642.jpg',0,Frankie,
,MW_21022.jpg',1,Frankie,
,MW_21048.jpg',0,Frankie,
,MW_21074.jpg',0,Frankie,
,MW_21125.jpg',0,Frankie,
,MW_21147.jpg',1,Frankie,
,MW_21163.jpg',1,Frankie,
,MW_21170.jpg',0,Frankie,
,MW_21560.jpg',1,Frankie,
,MW_21788.jpg',1,Frankie,
,MW_21853.jpg',1,Frankie,
,MW_21968.jpg',1,Frankie,
,MW_21987.jpg',1,Frankie,
,MW_26275.jpg',1,Frankie,
,MW_27627.jpg',1,Frankie,
,MW_28282.jpg',1,Frankie,
,MW_28319.jpg',1,Frankie,
,MW_29359.jpg',1,Frankie,
,MW_30483.jpg',1,Frankie,
,MW_32647.jpg',1,Frankie,
,MW_32657.jpg',1,Frankie,
,MW_32706.jpg',1,Frankie,
,MW_32730.jpg',1,Frankie,
,MW_34297.jpg',1,Frankie,
,MW_35588.jpg',1,Frankie,
,MW_35753.jpg',1,Frankie,
,MW_37467.jpg',1,Frankie,
,MW_37546.jpg',1,Frankie,
,MW_38281.jpg',1,Frankie,
,MW_38935.jpg',1,Frankie,
,MW_38971.jpg',1,Jaden,
,MW_38989.jpg',1,Jaden,
,MW_39547.jpg',1,Jaden,
,MW_39630.jpg',1,Jaden,
,MW_39968.jpg',1,Jaden,
,MW_39976.jpg',1,Jaden,
,MW_39990.jpg',1,Jaden,
,MW_40058.jpg',1,Jaden,
,MW_40060.jpg',1,Jaden,
,MW_40069.jpg',1,Jaden,
,MW_40093.jpg',1,Jaden,
,MW_42498.jpg',0,Jaden,
,MW_42520.jpg',0,Jaden,
,MW_42531.jpg',1,Jaden,
,MW_44008.jpg',1,Jaden,
,MW_44185.jpg',1,Jaden,
,MW_44206.jpg',1,Jaden,
,MW_44270.jpg',1,Jaden,
,MW_44273.jpg',1,Jaden,
,MW_44312.jpg',1,Jaden,
,MW_44368.jpg',0,Jaden,
,MW_44649.jpg',1,Jaden,
,MW_44740.jpg',0,Jaden,
,MW_44774.jpg',0,Jaden,
,MW_45564.jpg',0,Jaden,
,MW_45577.jpg',0,Jaden,
,MW_45631.jpg',0,Jaden,
,MW_45638.jpg',0,Jaden,
,MW_45785.jpg',0,Jaden,
,MW_45924.jpg',0,Jaden,
,MW_47061.jpg',0,Jaden,
,MW_47284.jpg',1,Jaden,
,MW_48198.jpg',1,Jaden,
,MW_48564.jpg',1,Jaden,
,MW_48576.jpg',1,Jaden,
,MW_49896.jpg',1,Jaden,
,MW_49897.jpg',1,Jaden,
,MW_49929.jpg',1,Jaden,
,MW_49960.jpg',1,Jaden,
,MW_49990.jpg',1,Jaden,
,MW_51036.jpg',0,Jaden,
,MW_51122.jpg',1,Jaden,
,MW_51148.jpg',1,Jaden,
,MW_51157.jpg',1,Jaden,
,MW_51164.jpg',1,Jaden,
,MW_51622.jpg',1,Jaden,
,MW_51687.jpg',1,Jaden,
,MW_51695.jpg',1,Jaden,
,MW_51731.jpg',1,Jaden,
,MW_51780.jpg',1,Jaden,
,MW_51804.jpg',1,Jaden,
,MW_51867.jpg',1,Jaden,
,MW_52036.jpg',0,Jaden,
,MW_52823.jpg',1,Jaden,
,MW_53889.jpg',1,Jaden,
,MW_54866.jpg',1,Jaden,
,MW_55500.jpg',1,Jaden,
,MW_55501.jpg',1,Jaden,
,MW_55555.jpg',1,Jaden,
,MW_55620.jpg',1,Jaden,
,MW_55622.jpg',1,Jaden,
,MW_55629.jpg',1,Jaden,
,MW_56206.jpg',0,Jaden,
,MW_58199.jpg',0,Jaden,
,MW_58208.jpg',0,Jaden,
,MW_59176.jpg',1,Jaden,
,MW_59182.jpg',1,Jaden,
,MW_59187.jpg',1,Jaden,
,MW_59233.jpg',1,Jaden,
,MW_59305.jpg',1,Jaden,
,MW_59351.jpg',1,Jaden,
,MW_59507.jpg',1,Jaden,
,MW_59539.jpg',1,Jaden,
,MW_59541.jpg',1,Jaden,
,MW_60586.jpg',0,Jaden,
,MW_60745.jpg',0,Jaden,
,MW_61842.jpg',0,Jaden,
,MW_61885.jpg',0,Jaden,
,MW_61891.jpg',0,Jaden,
,MW_61892.jpg',0,Jaden,
,MW_62068.jpg',0,Jaden,
,MW_62809.jpg',0,Jaden,
,MW_62812.jpg',0,Jaden,
,MW_62814.jpg',0,Jaden,
,MW_62816.jpg',0,Jaden,
,MW_63428.jpg',0,Jaden,
,MW_63435.jpg',0,Jaden,
,MW_63451.jpg',0,Jaden,
,MW_63580.jpg',0,Jaden,
,MW_63583.jpg',0,Jaden,
,MW_63627.jpg',0,Jaden,
,MW_63826.jpg',0,Jaden,
,MW_63880.jpg',0,Jaden,
,MW_63889.jpg',0,Jaden,
,MW_64574.jpg',0,Jaden,
,MW_64978.jpg',0,Jaden,
,MW_65008.jpg',0,Jaden,
,MW_65099.jpg',0,Jaden,
,MW_65111.jpg',0,Jaden,
,MW_65186.jpg',0,Jaden,
,MW_65236.jpg',0,Jaden,
,MW_65245.jpg',0,Jaden,
,MW_65901.jpg',0,Jaden,
,MW_67358.jpg',0,Jaden,
,MW_67571.jpg',0,Jaden,
,MW_67634.jpg',0,Jaden,
,MW_67687.jpg',0,Jaden,
,MW_67697.jpg',0,Jaden,
,MW_67731.jpg',0,Jaden,
