Assignee,Image Name,HAS WIND TURBINE? (Y(1)/N(0)),ANNOTATED BY,VERIFIED BY
Aya,NE_1399.jpg,0,Aya,Maddie
Aya,NE_1730.jpg,0,Aya,Maddie
Aya,NE_1732.jpg,0,Aya,Maddie
Aya,NE_1736.jpg,0,Aya,Maddie
Aya,NE_1740.jpg,0,Aya,Maddie
Aya,NE_1750.jpg,0,Aya,Maddie
Aya,NE_1751.jpg,0,Aya,Maddie
Aya,NE_1755.jpg,0,Aya,Maddie
Aya,NE_3473.jpg,1,Aya,Maddie
Aya,NE_3480.jpg,1,Aya,Maddie
Aya,NE_4301.jpg,0,Aya,Maddie
Aya,NE_4302.jpg,0,Aya,Maddie
Aya,NE_4310.jpg,0,Aya,Maddie
Aya,NE_4312.jpg,0,Aya,Maddie
Aya,NE_4316.jpg,0,Aya,Maddie
Aya,NE_4331.jpg,0,Aya,Maddie
Aya,NE_4337.jpg,0,Aya,Maddie
Aya,NE_4345.jpg,0,Aya,Maddie
Aya,NE_4349.jpg,0,Aya,Maddie
Aya,NE_4353.jpg,0,Aya,Maddie
Aya,NE_8310.jpg,1,Aya,Maddie
Aya,NE_8314.jpg,1,Aya,Maddie
Aya,NE_8325.jpg,1,Aya,Maddie
Aya,NE_9604.jpg,0,Aya,Maddie
Aya,NE_9607.jpg,0,Aya,Maddie
Aya,NE_13168.jpg,0,Aya,Maddie
Aya,NE_13170.jpg,0,Aya,Maddie
Aya,NE_13171.jpg,0,Aya,Maddie
Aya,NE_13173.jpg,0,Aya,Maddie
Aya,NE_13174.jpg,0,Aya,Maddie
Aya,NE_13195.jpg,0,Aya,Maddie
Aya,NE_13648.jpg,1,Aya,Maddie
Aya,NE_13655.jpg,1,Aya,Maddie
Aya,NE_13659.jpg,1,Aya,Maddie
Aya,NE_13666.jpg,1,Aya,Maddie
Aya,NE_13668.jpg,1,Aya,Maddie
Aya,NE_15720.jpg,1,Aya,Maddie
Aya,NE_15738.jpg,1,Aya,Maddie
Aya,NE_15741.jpg,1,Aya,Maddie
Aya,NE_15743.jpg,1,Aya,Maddie
Aya,NE_15751.jpg,1,Aya,Maddie
Aya,NE_15755.jpg,1,Aya,Maddie
Aya,NE_17344.jpg,1,Aya,Maddie
Aya,NE_17347.jpg,1,Aya,Maddie
Aya,NE_17360.jpg,1,Aya,Maddie
Aya,NE_17363.jpg,1,Aya,Maddie
Aya,NE_17538.jpg,1,Aya,Maddie
Aya,NE_17546.jpg,1,Aya,Maddie
Aya,NE_17547.jpg,1,Aya,Maddie
Aya,NE_17551.jpg,1,Aya,Maddie
Aya,NE_18652.jpg,1,Aya,Maddie
Aya,NE_18658.jpg,1,Aya,Maddie
Aya,NE_19233.jpg,1,Aya,Maddie
Aya,NE_21427.jpg,1,Aya,Maddie
Aya,NE_21430.jpg,1,Aya,Maddie
Aya,NE_21433.jpg,1,Aya,Maddie
Aya,NE_21443.jpg,1,Aya,Maddie
Aya,NE_21453.jpg,1,Aya,Maddie
Aya,NE_22211.jpg,1,Aya,Maddie
Aya,NE_22223.jpg,1,Aya,Maddie
Aya,NE_22229.jpg,1,Aya,Maddie
