Assignee,Image Name,HAS WIND TURBINE? (Y(1)/N(0)),ANNOTATED BY,VERIFIED BY
Frankie,NW_3654.jpg',1,,
,NW_3668.jpg',1,,
,NW_3691.jpg',1,,
,NW_3694.jpg',1,,
,NW_3718.jpg',Error,,
,NW_3735.jpg',Error,,
,NW_3769.jpg',1,,
,NW_4040.jpg',1,,
,NW_4041.jpg',1,,
,NW_4108.jpg',1,,
,NW_4212.jpg',1,,
,NW_4249.jpg',1,,
,NW_4250.jpg',1,,
,NW_4258.jpg',1,,
,NW_10422.jpg',1,,
,NW_12740.jpg',1,,
,NW_12749.jpg',1,,
,NW_12966.jpg',Error,,
,NW_12991.jpg',1,,
,NW_12992.jpg',1,,
,NW_13012.jpg',1,,
,NW_13096.jpg',1,,
,NW_13114.jpg',Error,,
,NW_14929.jpg',1,,
,NW_15619.jpg',1,,
,NW_15641.jpg',1,,
,NW_15665.jpg',1,,
,NW_15676.jpg',1,,
,NW_15680.jpg',1,,
,NW_15687.jpg',1,,
,NW_15931.jpg',1,,
,NW_15943.jpg',1,,
,NW_16773.jpg',1,,
,NW_16784.jpg',1,,
,NW_17262.jpg',1,,
,NW_17273.jpg',1,,
,NW_17294.jpg',Error,,
,NW_17296.jpg',Error,,
,NW_17315.jpg',1,,
,NW_18470.jpg',Error,,
,NW_19426.jpg',1,,
,NW_19510.jpg',Error,,
,NW_19529.jpg',Error,,
,NW_19541.jpg',1,,
,NW_19544.jpg',1,,
,NW_19727.jpg',1,,
,NW_19755.jpg',1,,
,NW_19766.jpg',Error,,
,NW_20392.jpg',1,,
,NW_20402.jpg',1,,
,NW_20430.jpg',Error,,
,NW_20682.jpg',1,,
,NW_20697.jpg',1,,
,NW_22975.jpg',1,,
,NW_22985.jpg',1,,
,NW_23017.jpg',1,,
,NW_23141.jpg',1,,
,NW_23810.jpg',Error,,
,NW_23827.jpg',Error,,
,NW_23866.jpg',1,,
,NW_23886.jpg',1,,
,NW_24822.jpg',Error,,
,NW_24831.jpg',1,,
,NW_24836.jpg',1,,
,NW_24840.jpg',1,,
,NW_24903.jpg',1,,
,NW_24904.jpg',1,,
,NW_25459.jpg',Error,,
,NW_25460.jpg',1,,
,NW_25502.jpg',1,,
,NW_26770.jpg',1,,
,NW_26780.jpg',Error,,
,NW_26788.jpg',1,,
,NW_26857.jpg',Error,,
,NW_27089.jpg',1,,
,NW_27124.jpg',1,,
,NW_27141.jpg',1,,
,NW_28383.jpg',1,,
,NW_28390.jpg',Error,,
,NW_28425.jpg',1,,
,NW_28450.jpg',Error,,
,NW_28453.jpg',1,,
,NW_28456.jpg',1,,
,NW_28469.jpg',1,,
