Assignee,Image Name,HAS WIND TURBINE? (Y(1)/N(0)),ANNOTATED BY,VERIFIED BY
Caroline,SW_257.jpg',1,,
,SW_380.jpg',confusing wind turbine/shadow placement,,
,SW_407.jpg',1,,
,SW_526.jpg',1,,
,SW_532.jpg',1,,
,SW_565.jpg',very densly packed + small wind turbines,,
,SW_598.jpg',very densly packed + small wind turbines,,
,SW_784.jpg',1,,
,SW_909.jpg',1,,
,SW_933.jpg',mix of very small and very big wind turbines,,
,SW_973.jpg',lots of small wind turbines,,
,SW_991.jpg',lots of small wind turbines,,
,SW_1171.jpg',0,,
,SW_1484.jpg',1,,
,SW_1485.jpg',1,,
,SW_2369.jpg',0,,
,SW_2414.jpg',0,,
,SW_2812.jpg',1,,
,SW_2814.jpg',1,,
,SW_2829.jpg',1,,
,SW_2916.jpg',0,,
,SW_2918.jpg',0,,
,SW_2949.jpg',0,,
,SW_3492.jpg',0,,
,SW_3546.jpg',0,,
,SW_3580.jpg',0,,
,SW_4000.jpg',very small wind turbines,,
,SW_4011.jpg',1,,
,SW_4019.jpg',very small wind turbines,,
,SW_4021.jpg',very small wind turbines,,
,SW_5511.jpg',0,,
,SW_5771.jpg',1,,
,SW_5779.jpg',1,,
,SW_5889.jpg',0,,
,SW_6166.jpg',0,,
,SW_6546.jpg',very small wind turbines,,
,SW_6556.jpg',very small wind turbines,,
,SW_6588.jpg',1,,
,SW_6880.jpg',0,,
,SW_6892.jpg',0,,
,SW_6897.jpg',0,,
,SW_6929.jpg',0,,
,SW_7100.jpg',0,,
,SW_7148.jpg',0,,
,SW_7190.jpg',0,,
,SW_7284.jpg',0,,
,SW_7707.jpg',1,,
,SW_7708.jpg',1,,
,SW_7730.jpg',1,,
,SW_7842.jpg',1,,
,SW_7920.jpg',1,,
,SW_8262.jpg',1,,
,SW_8279.jpg',1,,
,SW_8287.jpg',1,,
,SW_8369.jpg',0,,
,SW_8463.jpg',old type of wind turbine + very small,,
,SW_8495.jpg',old type of wind turbine + very small,,
,SW_8515.jpg',old type of wind turbine + very small,,
,SW_8719.jpg',1,,
,SW_8731.jpg',1,,
,SW_8755.jpg',1,,
,SW_9063.jpg',1,,
,SW_9075.jpg',1,,
,SW_9274.jpg',0,,
,SW_9628.jpg',1,,
,SW_9637.jpg',1,,
,SW_9679.jpg',1,,
,SW_9716.jpg',1,,
,SW_9734.jpg',1,,
,SW_9801.jpg',1,,
,SW_9914.jpg',1,,
,SW_9976.jpg',1,,
,SW_10012.jpg',1,,
,SW_10025.jpg',1,,
,SW_10080.jpg',1,,
,SW_10181.jpg',1,,
,SW_10210.jpg',1,,
,SW_10817.jpg',1,,
,SW_10825.jpg',1,,
,SW_10899.jpg',1,,
,SW_10946.jpg',1,,
,SW_11105.jpg',1,,
,SW_11140.jpg',1,,
,SW_11162.jpg',1,,
,SW_11167.jpg',1,,
,SW_11199.jpg',1,,
,SW_11281.jpg',1,,
,SW_11291.jpg',1,,
,SW_11385.jpg',1,,
,SW_11704.jpg',1,,
,SW_11781.jpg',0,,
,SW_11986.jpg',0,,
,SW_12001.jpg',0,,
,SW_12036.jpg',0,,
,SW_12055.jpg',0,,
,SW_12670.jpg',0,,
,SW_12816.jpg',1,,
,SW_12844.jpg',1,,
,SW_13208.jpg',1,,
,SW_13211.jpg',1,,
,SW_14594.jpg',1,,
,SW_14636.jpg',1,,
,SW_14965.jpg',dense + v small wind turbines,,
,SW_15013.jpg',dense + v small wind turbines,,
,SW_15074.jpg',dense + v small wind turbines,,
,SW_15138.jpg',dense + v small wind turbines,,
,SW_15219.jpg',dense + v small wind turbines,,
,SW_15320.jpg',1,,
,SW_15344.jpg',dense + v small wind turbines,,
,SW_15416.jpg',dense + v small wind turbines,,
,SW_15437.jpg',dense + v small wind turbines,,
,SW_15444.jpg',dense + v small wind turbines,,
,SW_15588.jpg',1,,
,SW_16217.jpg',0,,
,SW_16223.jpg',0,,
,SW_16249.jpg',0,,
,SW_16303.jpg',0,,
,SW_16374.jpg',1,,
,SW_16408.jpg',0,,
,SW_16416.jpg',0,,
,SW_18041.jpg',0,,
,SW_18048.jpg',0,,
,SW_18057.jpg',0,,
,SW_18107.jpg',0,,
,SW_18225.jpg',0,,
,SW_18396.jpg',0,,
,SW_18513.jpg',1,,
,SW_18522.jpg',1,,
,SW_19783.jpg',1,,
,SW_20158.jpg',1,,
,SW_20553.jpg',0,,
,SW_20586.jpg',0,,
,SW_20769.jpg',0,,
,SW_21203.jpg',0,,
,SW_21258.jpg',0,,
,SW_21302.jpg',0,,
,SW_21366.jpg',0,,
,SW_22017.jpg',0,,
,SW_22023.jpg',0,,
,SW_22251.jpg',1,,
,SW_22312.jpg',0,,
