state,name,lon,lat,region,ID,cluster
IA,Rippey,-94.218292,41.996994,EM,46820,0
IA,Story County,-93.257393,42.135693,EM,54663,0
MN,Wapsipinicon Wind,-92.651291,43.792492,EM,59083,0
MN,Marshall,-95.794289,44.321091,EM,33407,0
MN,Nobles,-95.775993,43.71899000000001,EM,38117,0
MN,Lakefield,-95.109192,43.669891,EM,29231,0
IL,Pioneer Trail,-87.94099399999998,40.447193,EM,43299,2
MN,Pleasant Valley,-92.860474,43.82188,EM,43506,0
IA,Top of Iowa,-93.414093,43.334091,EM,56464,0
IL,Kelly Creek,-88.220421,41.000427,EM,27724,2
IL,White Oak,-89.094994,40.584991,EM,60068,2
OH,Blue Creek,-84.526596,40.986691,EM,5553,7
IN,Fowler Ridge II,-87.487595,40.540691,EM,18906,2
IA,Ida Grove,-95.429352,42.277004,EM,25639,0
MN,Grand Meadow,-92.643196,43.69379,EM,20844,0
IN,Fowler Ridge II,-87.43309,40.543694,EM,18979,2
MI,Sigel Wind Park,-82.811897,43.855492,EM,51175,1
MN,Prairie Star,-92.637596,43.679893,EM,44569,0
IL,Camp Grove,-89.558594,41.050392,EM,8866,2
MN,Lake Benton I,-96.421944,44.346268,EM,28721,0
MN,Bent Tree,-93.446991,43.767292,EM,3366,0
MI,Cross Winds Energy Park,-83.516304,43.588802,EM,13789,1
IA,Crane Creek,-92.498489,43.406193,EM,13456,0
IL,Twin Groves II,-88.499596,40.478992,EM,57829,2
MN,Mower County Wind Energy Center,-92.581413,43.638905,EM,36907,0
IA,Crystal Lake III,-93.866692,43.336094,EM,14393,0
IL,California Ridge,-87.934196,40.198692,EM,8632,2
IL,Lee/DeKalb,-88.767593,41.824291,EM,30010,2
IA,Carroll,-94.938393,42.147491,EM,10313,0
IN,Wildcat I,-85.789795,40.316792,EM,60398,3
IA,Ida Grove,-95.408272,42.278996,EM,25720,0
IN,Amazon Wind Farm (Fowler Ridge),-87.337502,40.634941,EM,1036,2
IA,Adams,-94.675438,40.933098,EM,160,5
IA,O'Brien,-95.630615,43.238819,EM,38845,0
IN,Wildcat I,-85.854095,40.36779,EM,60404,3
IN,Headwaters,-85.06495699999998,40.148064,EM,23184,3
MI,Sigel Wind Park,-82.819748,43.846516,EM,51194,1
MN,Elm Creek,-94.960495,43.749592,EM,16858,0
IL,Crescent Ridge I,-89.570992,41.259792,EM,13618,2
MN,Bent Tree,-93.434494,43.742691,EM,3433,0
IA,Morning Light,-94.558594,41.443993,EM,36501,5
IL,Bishop Hill I,-90.081291,41.234093,EM,4428,2
MI,Sigel Wind Park,-82.766594,43.868191,EM,51173,1
IA,Eclipse,-94.645393,41.524593,EM,15982,5
IN,Meadow Lake II,-86.981895,40.62759000000001,EM,33892,2
IA,Pomeroy III,-94.750191,42.620792,EM,43868,0
MI,Harvest Wind Farm,-83.233498,43.834293,EM,22966,1
IL,Minonk,-88.978996,40.915592,EM,35943,2
IA,Top of Iowa II,-93.339371,43.366184,EM,56544,0
IN,Goodland I,-87.47179399999996,40.690891,EM,20353,2
IA,Endeavor,-95.433792,43.465393,EM,17071,0
IL,Settler's Trail,-87.567497,40.752991,EM,50209,2
MI,Minden Wind Park,-82.772995,43.632793,EM,35785,1
IN,Meadow Lake IV,-87.051498,40.685593,EM,34004,2
IA,Rolling Hills,-94.743393,41.218994,EM,47461,5
MN,Grand Meadow,-92.636192,43.685291,EM,20804,0
IA,Storm Lake II,-95.314491,42.840393,EM,54546,0
MN,Prairie Star,-92.615089,43.65089,EM,44548,0
IL,GSG Wind Farm,-89.225594,41.669891,EM,19287,2
IN,Meadow Lake,-86.897194,40.655392,EM,33740,2
IA,Rolling Hills,-94.790192,41.198292,EM,47565,5
MI,Gratiot County,-84.49389599999998,43.455292,EM,21712,1
MO,Lost Creek Ridge Wind Farm,-94.530792,39.986393,EM,31956,6
IA,Whispering Willow I,-93.197395,42.626091,EM,59716,0
IL,Grand Ridge,-88.699493,41.227692,EM,20894,2
MI,Gratiot,-84.421097,43.402393,EM,21618,1
IA,Pocahontas Prairie,-94.603691,42.604492,EM,43613,0
IA,Intrepid,-95.296921,42.552128,EM,26194,0
IA,Century,-93.678589,42.552891,EM,11521,0
MN,Moraine II,-96.074692,44.12899,EM,36452,0
MN,Lake Benton II,-96.161789,44.177391,EM,28909,0
IL,White Oak,-89.053993,40.56649,EM,60051,2
IA,Rippey,-94.18969,41.997395,EM,46822,0
IL,Blackstone (Top Crop) II,-88.50269300000002,41.157692,EM,5045,2
IL,Twin Groves I,-88.68029,40.462292,EM,57690,2
IA,Whispering Willow I,-93.177193,42.627991,EM,59709,0
IN,Headwaters,-85.017876,40.064583,EM,23179,3
IA,Storm Lake I,-95.294579,42.63924,EM,54413,0
MN,Pleasant Valley,-92.796623,43.768063,EM,43438,0
IA,Adair,-94.63839,41.439693,EM,54,5
IL,Bishop Hill I,-90.200691,41.190693,EM,4382,2
IL,Grand Ridge II,-88.661392,41.187393,EM,20928,2
MN,Fenton,-95.918892,43.821194,EM,17636,0
IA,Eclipse,-94.703094,41.526592,EM,16033,5
MI,Beebe Community Wind,-84.535095,43.271992,EM,3183,1
IA,New Harvest,-95.461594,42.148693,EM,37227,0
IA,Flying Cloud,-95.252289,43.379192,EM,18257,0
IA,Whispering Willow I,-93.238396,42.610291,EM,59825,0
IA,Flying Cloud,-95.258789,43.395191,EM,18267,0
IL,Camp Grove,-89.609291,41.082092,EM,8949,2
IL,Blackstone (Top Crop) II,-88.577698,41.164291,EM,5042,2
MN,Moraine II,-96.01519,44.057491,EM,36439,0
IA,Highland I,-95.641594,43.050301,EM,24083,0
WI,Glacier Hills,-89.175392,43.56179,EM,19392,4
IL,Grand Ridge III/IV,-88.725594,41.173893,EM,20963,2
IA,Story County,-93.348793,42.145893,EM,54668,0
IA,Crystal Lake I,-93.863091,43.207092,EM,14249,0
MI,Tuscola II,-83.576492,43.570992,EM,57556,1
IL,Bishop Hill II,-90.220795,41.247093,EM,4511,2
WI,Blue Sky - Green Field,-88.239693,43.87849,EM,5705,4
IN,Meadow Lake II,-86.977592,40.627491,EM,33897,2
MN,Prairie Rose,-96.265694,43.817993,EM,44438,0
OH,Blue Creek,-84.586395,40.958893,EM,5589,7
MN,Chanarambie,-96.055351,44.00164,EM,11734,0
IA,Story County,-93.239693,42.053391,EM,54705,0
IA,Ida Grove,-95.501358,42.320602,EM,25643,0
IA,Century,-93.662994,42.543591,EM,11548,0
MN,Big Blue Wind Farm,-94.23349,43.619591,EM,3615,0
IL,White Oak,-89.09819,40.600594,EM,60015,2
IN,Wildcat I,-85.846497,40.347092,EM,60447,3
MN,Corn Plus,-94.143753,43.762001,EM,13215,0
IA,O'Brien,-95.567314,43.162113,EM,38907,0
IA,Barton,-93.109093,43.393791,EM,2734,0
OH,Timber Road II,-84.717621,40.991077,EM,56389,7
IL,Twin Groves II,-88.607849,40.473885,EM,57878,2
IL,Big Sky Wind,-89.48439,41.575592,EM,3890,2
IL,White Oak,-89.077698,40.553093,EM,60030,2
MN,Wapsipinicon Wind,-92.674995,43.755192,EM,59095,0
IA,Adams,-94.65287,40.903233,EM,136,5
IL,Pilot Hill,-88.043396,41.018051,EM,42696,2
IA,Flying Cloud,-95.266594,43.390793,EM,18252,0
MN,Lake Benton II,-96.156662,44.148048,EM,28953,0
IL,Pilot Hill,-88.129875,40.989113,EM,42697,2
IA,Crystal Lake II,-93.86779,43.321793,EM,14323,0
IA,Crystal Lake III,-93.883789,43.328892,EM,14403,0
MN,Grand Meadow,-92.686996,43.681492,EM,20836,0
IA,Endeavor II,-95.425491,43.416794,EM,17080,0
IL,Big Sky Wind,-89.504196,41.581291,EM,3848,2
IA,Crystal Lake I,-93.781494,43.215893,EM,14237,0
IA,Intrepid,-95.277573,42.48520300000001,EM,26200,0
IL,Cayuga Ridge,-88.460693,40.96899000000001,EM,10559,2
MN,Shaokatan Hills,-96.44059,44.402493,EM,50515,0
MI,Beebe Community Wind,-84.493996,43.273193,EM,3211,1
IA,Rippey,-94.170395,42.000992,EM,46830,0
WI,Quilt Block,-90.255585,42.619171,EM,45083,9
IA,Whispering Willow I,-93.208694,42.647991,EM,59759,0
MN,Moraine II,-96.048988,44.126392,EM,36455,0
MN,Lakefield,-95.185188,43.707092,EM,29163,0
IN,Wildcat I,-85.92319499999998,40.380291,EM,60491,3
IA,O'Brien,-95.581512,43.176071,EM,38827,0
IL,Big Sky Wind,-89.418091,41.602692,EM,3893,2
IA,Pocahontas Prairie,-94.641693,42.614391,EM,43621,0
MN,Moraine II,-96.096893,44.135292,EM,36448,0
MN,Lakefield,-95.169189,43.661293,EM,29213,0
MO,Lost Creek Ridge Wind Farm,-94.519691,39.963493,EM,31926,6
IA,Rolling Hills,-94.768791,41.285892,EM,47545,5
IN,Goodland I,-87.446991,40.700691,EM,20351,2
IA,Top of Iowa,-93.402489,43.351292,EM,56512,0
MN,Lake Benton I,-96.413994,44.331993,EM,28783,0
IL,California Ridge,-87.80699200000002,40.188492,EM,8642,2
OH,Timber Road II,-84.754997,41.064991,EM,56354,7
