state,name,lon,lat,region,ID,cluster
NE,Petersburg,-98.015694,41.861393,MW,42531,5
NE,Prairie Breeze II,-97.931793,41.966003,MW,44297,5
OK,Goodwell,-101.619347,36.535095,MW,20523,19
SD,Tatanka,-98.994072,45.899895,MW,55555,9
OK,Keenan II,-99.513893,36.280994,MW,27669,2
OK,Elk City II,-99.688591,35.513393,MW,16556,2
OK,Balko Wind,-100.800743,36.541363,MW,2572,2
KS,Cedar Bluff,-99.737396,38.651859,MW,10666,2
OK,Centennial Wind Farm,-99.657188,36.646893,MW,11393,2
OK,Weatherford Wind Energy Center,-98.786194,35.54949600000001,MW,59351,2
OK,Rush Springs Wind Energy Center,-97.725182,34.676815000000005,MW,48564,0
KS,Buckeye,-99.415382,38.976212,MW,7410,2
SD,Oak Tree,-97.741501,44.933453,MW,39118,17
KS,Caney River,-96.442894,37.397491,MW,9574,0
OK,Mammoth Plains,-98.679131,35.946793,MW,32647,2
NE,Broken Bow I,-99.490189,41.419693,MW,7022,14
ND,Bison Wind 2,-101.673088,46.95549000000001,MW,4654,4
OK,Mammoth Plains,-98.658051,35.936405,MW,32657,2
NE,Grande Prairie,-98.533012,42.586334,MW,21022,5
KS,Flat Ridge 2,-98.32029,37.363194,MW,17779,7
KS,Smoky Hills II,-98.194595,38.910194,MW,51870,1
KS,Slate Creek,-97.24472,37.087509,MW,51695,0
OK,Chisholm View,-97.535194,36.590996,MW,12198,0
OK,Osage Wind,-96.71022,36.71788400000001,MW,40083,0
OK,Kay Wind,-97.2313,36.923935,MW,27483,0
OK,Chisholm View II,-97.72319,36.511112,MW,12314,0
OK,Balko Wind,-100.806984,36.505657,MW,2604,2
OK,Elk City II,-99.667091,35.455994,MW,16558,2
KS,Central Plains,-101.188591,38.532093,MW,11481,8
KS,Waverly,-95.616371,38.353191,MW,59176,13
ND,Sunflower,-102.040482,46.82848,MW,54866,4
SD,Tatanka,-98.986893,45.938892,MW,55622,9
ND,Rugby,-99.958893,48.475891,MW,48258,6
OK,Canadian Hills,-98.163589,35.697594,MW,9464,0
KS,Cimarron Bend I,-99.938606,37.391716,MW,12407,2
KS,Buckeye,-99.48568,39.014084,MW,7395,2
SD,Day County Wind Project,-97.888992,45.229393,MW,14439,17
KS,Cedar Bluff,-99.806099,38.633041,MW,10679,2
ND,Bison Wind 3,-101.579689,46.916393,MW,4678,4
OK,OK Wind Energy Center(mooreland),-99.320297,36.60214600000001,MW,38982,2
OK,Osage Wind,-96.713875,36.706104,MW,40060,0
OK,Blackwell,-97.417595,36.826893,MW,5066,0
KS,Cimarron I,-100.280388,37.879593,MW,12555,2
OK,OK Wind Energy Center(mooreland),-99.286224,36.554428,MW,38935,2
SD,Buffalo Ridge II,-96.60849,44.524193,MW,8127,11
KS,Kingman Wind Energy Center,-98.142082,37.550529,MW,28319,7
OK,Chisholm View,-97.766289,36.597595,MW,12262,0
OK,Keenan II,-99.492393,36.269794,MW,27650,2
OK,Osage Wind,-96.639702,36.722202,MW,40069,0
KS,Cimarron Bend I,-99.899475,37.361107,MW,12431,2
KS,Western Plains,-99.617844,37.874283,MW,59610,2
