state,name,lon,lat,region,ID,cluster
WA,Lower Snake River Phase I,-117.797089,46.494495,NW,32182,1
WA,Wild Horse I,-120.17968799999998,47.017693,NW,60229,2
MT,Musselshell I,-109.475388,46.280994,NW,36946,4
WA,Hopkins Ridge Wind Project,-117.819183,46.432896,NW,24836,1
WY,Dunlap,-106.207993,42.019394,NW,15680,0
ID,Horse Butte,-111.729591,43.386192,NW,24904,5
ID,Rockland,-112.929787,42.703995,NW,47184,7
ID,Goshen North,-111.81968700000002,43.472393,NW,20697,5
ID,Goshen North,-111.862885,43.416595,NW,20683,5
WY,Rock River I,-106.114288,41.71468,NW,47128,0
OR,Star Point,-120.526382,45.464596,NW,53348,1
WY,Medicine Bow,-106.241867,41.833138,NW,34134,0
OR,Elkhorn Valley (La Grande),-117.804588,45.050495,NW,16784,10
WY,Top of the World,-105.760185,42.950993,NW,56674,6
ID,Horse Butte,-111.760391,43.428593,NW,24903,5
WY,Seven Mile Hill I & II,-106.366089,41.923393,NW,50245,0
WY,Evanston (Wyoming Wind Energy Center),-110.824425,41.366703,NW,17315,9
WY,Glenrock,-105.808792,43.100193,NW,19727,6
WA,Hopkins Ridge Wind Project,-117.86523400000002,46.456341,NW,24840,1
ID,Rockland,-112.871284,42.693394,NW,47170,7
WA,Big Horn,-120.232788,45.885895,NW,3638,1
WA,Marengo I,-117.797585,46.376095,NW,33194,1
OR,Biglow Canyon III,-120.54438799999998,45.630795,NW,4258,1
WY,Evanston (Wyoming Wind Energy Center),-110.727127,41.383713,NW,17273,9
WA,Windy Point II,-120.789185,45.718094,NW,61130,1
WA,Vantage Point,-120.118484,46.957394,NW,58376,2
WA,Hopkins Ridge Wind Project,-117.793884,46.439793,NW,24831,1
OR,Klondike III,-120.65798999999998,45.544994,NW,28456,1
OR,South Hurlburt,-120.000282,45.607994,NW,52253,1
OR,South Hurlburt,-120.040588,45.637295,NW,52311,1
MT,Rim Rock,-112.187286,48.820892,NW,46721,3
WA,Stateline Wind Project,-118.82869,46.039394,NW,53750,1
OR,Stateline Wind Project,-118.686089,45.985481,NW,53834,1
OR,North Hurlburt,-120.079887,45.744793,NW,38479,1
OR,Klondike IIIA,-120.525887,45.55229600000001,NW,28590,1
WY,Top of the World,-105.733589,42.945293,NW,56680,6
WA,Sagebrush (Kittitas Valley),-120.671684,47.156494,NW,48885,2
OR,Rattlesnake Road,-120.245789,45.694294,NW,45666,1
WA,Lower Snake River Phase I,-117.817688,46.471794,NW,32143,1
WY,Mountain Wind I,-110.520287,41.285995,NW,36767,9
ID,Oregon Trail,-114.990288,42.849396,NW,39708,7
WA,Lower Snake River Phase I,-117.818687,46.473793,NW,32118,1
WA,Stateline Wind Project,-118.854988,46.033493,NW,53819,1
OR,Leaning Juniper,-120.196686,45.668896,NW,29778,1
WA,Wild Horse I,-120.199783,47.013695,NW,60335,2
WA,Big Horn 2,-120.267708,45.927769,NW,3769,1
ID,Meadow Creek,-111.81369,43.572796,NW,33715,5
OR,Stateline Wind Project,-118.802986,45.991592,NW,53611,1
WA,Windy Point II,-120.781487,45.72449500000001,NW,61161,1
OR,Stateline Wind Project,-118.78116599999998,45.975117,NW,53687,1
OR,Leaning Juniper,-120.256386,45.657394,NW,29756,1
WA,Sagebrush (Kittitas Valley),-120.707184,47.121193,NW,48889,2
OR,Stateline Wind Project,-118.76331299999998,45.988319,NW,53692,1
WA,Stateline Wind Project,-118.853584,46.032192,NW,53795,1
OR,North Hurlburt,-120.089188,45.754795,NW,38468,1
OR,Combine Hills II,-118.544083,45.933292,NW,12991,1
WY,Rolling Hills,-105.856491,43.076294,NW,47595,6
OR,Willow Creek,-119.981483,45.640919,NW,60697,1
WY,Dunlap,-106.180687,42.004894,NW,15645,0
WA,Stateline Wind Project,-118.815987,46.010593,NW,53430,1
WA,Stateline Wind Project,-118.839088,46.021893,NW,53758,1
OR,Vansycle I,-118.662819,45.938229,NW,58297,1
WY,Seven Mile Hill I & II,-106.411491,41.946693,NW,50248,0
WA,Big Horn,-120.26268799999998,45.900593,NW,3654,1
OR,Horseshoe Bend,-120.026688,45.589794,NW,25502,1
WA,Big Horn,-120.297684,45.880295,NW,3691,1
WA,Wild Horse I,-120.213783,47.026196,NW,60342,2
WY,Rolling Hills,-105.830391,43.121895,NW,47581,6
WA,Windy Point II,-120.553787,45.783195,NW,61168,1
OR,Biglow Canyon I,-120.619682,45.688793,NW,4089,1
WA,Hopkins Ridge Wind Project,-117.80098,46.445549,NW,24842,1
OR,Stateline Wind Project,-118.695786,45.98181500000001,NW,53509,1
WY,High Plains,-106.05719,41.660793,NW,23866,0
WA,Hopkins Ridge Wind Project,-117.854385,46.450195,NW,24847,1
OR,Shepherds Flat,-120.115883,45.751095,NW,50625,1
WY,Evanston (Wyoming Wind Energy Center),-110.781219,41.331055,NW,17262,9
WY,Seven Mile Hill I & II,-106.43399,41.968094,NW,50249,0
WY,Dunlap,-106.207787,42.003593,NW,15619,0
WA,Harvest Wind Farm,-120.436089,45.793293,NW,22975,1
WA,Wild Horse I,-120.176987,47.046696,NW,60262,2
OR,Biglow Canyon III,-120.530785,45.615894,NW,4212,1
OR,Klondike III,-120.480286,45.580093,NW,28453,1
OR,Willow Creek,-120.003586,45.655994,NW,60717,1
WA,Windy Point I (Tuolomne Wind Project),-120.582283,45.777992,NW,61056,1
OR,Biglow Canyon I,-120.621788,45.677994,NW,4110,1
WA,Goodnoe Hills,-120.571686,45.783394,NW,20419,1
WA,Goodnoe Hills,-120.524086,45.782093,NW,20402,1
WA,Marengo I,-117.765984,46.386192,NW,33154,1
OR,Klondike III,-120.553185,45.612194,NW,28469,1
MT,Rim Rock,-112.14209,48.802193,NW,46662,3
OR,Stateline Wind Project,-118.695381,45.981178,NW,53828,1
WA,Lower Snake River Phase I,-117.789589,46.479694,NW,32041,1
WA,Nine Canyon II,-119.142288,46.104492,NW,37432,1
OR,Echo 1-7,-119.400284,45.703293,NW,15943,1
WA,Linden,-120.770683,45.739094,NW,30561,1
OR,Vansycle II,-118.63839,45.913494,NW,58333,1
OR,Stateline Wind Project,-118.770882,45.99575,NW,53832,1
OR,Echo 1-7,-119.409683,45.696594,NW,15931,1
OR,Star Point,-120.471786,45.509594,NW,53368,1
MT,Musselshell II,-109.48999,46.269394,NW,36952,4
WA,Windy Point II,-120.865288,45.704994,NW,61137,1
MT,Glacier I,-112.11188500000002,48.522594,NW,19426,3
WA,Goodnoe Hills,-120.478783,45.774296,NW,20392,1
WA,Lower Snake River Phase I,-117.85688799999998,46.510796,NW,32122,1
WA,Harvest Wind Farm,-120.238983,45.771996,NW,22985,1
WA,Wild Horse I,-120.179085,47.016594,NW,60331,2
