state,name,lon,lat,region,ID,cluster
NY,Noble Ellenburg,-74.004097,44.878693,NE,37872,2
NY,Marble River,-73.96219599999998,44.931492,NE,33118,2
NY,Noble Wethersfield,-78.242195,42.615093,NE,38037,3
NY,Noble Clinton,-73.998795,44.93779,NE,37818,2
NY,Orangeville Wind,-78.20369699999998,42.779991,NE,39649,3
NH,Granite Reliable Power,-71.320198,44.790291,NE,21427,1
NY,High Sheldon,-78.38409399999998,42.734993,NE,23956,3
ME,Rollins,-68.38780200000001,45.303192,NE,47653,4
NY,Noble Clinton,-73.995499,44.948193,NE,37797,2
NY,Maple Ridge,-75.546196,43.748791,NE,32971,0
NY,Howard,-77.504112,42.328938,NE,25564,3
NY,Maple Ridge,-75.550995,43.751591,NE,32985,0
NY,Noble Chateaugay,-74.023201,44.901093,NE,37731,2
NY,Noble Clinton,-73.992798,44.902592,NE,37778,2
NY,Marble River,-73.940498,44.884293,NE,33108,2
NY,Fenner Wind Power Project,-75.76709699999998,43.000992,NE,17546,6
ME,Oakfield Wind,-68.112297,46.091999,NE,39153,4
ME,Mars Hill,-67.813797,46.528992,NE,33379,4
MD,Roth Rock,-79.4655,39.256191,NE,48032,9
NY,High Sheldon,-78.412193,42.777992,NE,23900,3
NY,Hardscrabble,-74.904701,43.206791,NE,22895,6
NY,Maple Ridge (Lowville),-75.6353,43.835293,NE,33078,0
NY,Noble Clinton,-73.974602,44.893291,NE,37831,2
NY,Maple Ridge (Lowville),-75.599396,43.808392,NE,33005,0
ME,"Kibby Mountain, phase I",-70.53679699999998,45.40799000000001,NE,27806,11
ME,Mars Hill,-67.80806700000001,46.554146,NE,33380,4
ME,Stetson,-67.971497,45.554291,NE,54223,4
NY,Noble Wethersfield,-78.25039699999998,42.609493,NE,38041,3
NY,Noble Altona,-73.64209699999998,44.82169,NE,37584,2
ME,Rollins,-68.398697,45.327091,NE,47660,4
NY,Noble Bliss,-78.278999,42.552692,NE,37648,3
NY,Maple Ridge,-75.521194,43.699593,NE,32951,0
ME,Record Hill,-70.630302,44.656891,NE,45852,1
MA,Hoosac,-73.044197,42.730991,NE,24734,7
NY,Hardscrabble,-74.889,43.11359,NE,22884,6
NY,Marble River,-73.91179699999998,44.99559,NE,33125,2
NY,Noble Altona,-73.648399,44.817989,NE,37601,2
MD,Roth Rock,-79.439995,39.28289,NE,48021,9
ME,Saddleback Ridge,-70.36367,44.622372,NE,48720,1
NY,Munnsville,-75.574699,42.902493,NE,36926,6
MA,Berkshire Wind Power Project Phase II,-73.272575,42.596577,NE,3483,7
NY,Noble Ellenburg,-73.925995,44.86499,NE,37873,2
NY,Noble Clinton,-73.999199,44.894192,NE,37839,2
MD,Fair Wind,-79.398308,39.315174,NE,17349,9
ME,"Kibby Mountain, phase I",-70.533997,45.380192,NE,27796,11
NY,Hardscrabble,-74.898895,43.138191,NE,22900,6
ME,Rollins,-68.3871,45.30859,NE,47654,4
ME,Oakfield Wind,-68.144012,46.05173900000001,NE,39157,4
ME,Stetson,-67.977997,45.513191,NE,54203,4
NY,Maple Ridge (Lowville),-75.648399,43.793991,NE,33010,0
NY,Noble Chateaugay,-74.038696,44.87619,NE,37772,2
NY,Noble Wethersfield,-78.245094,42.659893,NE,38003,3
NY,Orangeville Wind,-78.261101,42.708893,NE,39660,3
NH,Granite Reliable Power,-71.31289699999998,44.776192,NE,21453,1
NY,Noble Chateaugay,-74.055801,44.905491,NE,37774,2
NY,Orangeville Wind,-78.23719799999998,42.754593,NE,39676,3
NY,Noble Altona,-73.650902,44.82159,NE,37602,2
NY,Noble Bliss,-78.216995,42.540894,NE,37641,3
NY,Steel Winds II,-78.8601,42.803291,NE,53854,3
NY,Maple Ridge (Lowville),-75.633995,43.80619,NE,33055,0
NY,High Sheldon,-78.426796,42.779491,NE,23922,3
NY,Noble Bliss,-78.27879300000002,42.544891,NE,37681,3
NY,Orangeville Wind,-78.236595,42.751991,NE,39651,3
NY,Noble Bliss,-78.235199,42.564991,NE,37667,3
ME,"Kibby Mountain, phase I",-70.537796,45.410393,NE,27811,11
NY,Noble Chateaugay,-74.033699,44.874992,NE,37734,2
NY,Maple Ridge (Lowville),-75.590797,43.82029,NE,33040,0
NY,Zotos,-76.967598,42.886192,NE,61638,3
NY,Orangeville Wind,-78.241196,42.729992,NE,39675,3
NY,Maple Ridge (Lowville),-75.61529499999997,43.77779,NE,33059,0
NY,Maple Ridge,-75.552399,43.76849,NE,32904,0
NY,Noble Clinton,-73.985802,44.910591,NE,37830,2
ME,Rollins,-68.36150400000001,45.397591,NE,47634,4
NH,Groton,-71.791298,43.74609,NE,22221,12
NY,Noble Ellenburg,-73.979401,44.864693,NE,37868,2
NY,Hardscrabble,-74.903297,43.128391,NE,22901,6
NY,Marble River,-73.92229499999998,44.87249,NE,33082,2
ME,Stetson Wind expansion,-67.960899,45.586891,NE,54242,4
ME,Oakfield Wind,-68.136963,46.075249,NE,39139,4
NY,Noble Wethersfield,-78.240494,42.659893,NE,37994,3
NY,Noble Clinton,-74.007797,44.923492,NE,37806,2
NH,Granite Reliable Power,-71.304802,44.846092,NE,21443,1
NY,Maple Ridge,-75.511299,43.696091,NE,32975,0
NY,Noble Ellenburg,-74.003799,44.87569000000001,NE,37891,2
NY,Noble Wethersfield,-78.231697,42.612392,NE,38001,3
NY,Noble Wethersfield,-78.291901,42.602192,NE,38056,3
NY,Noble Wethersfield,-78.30109399999998,42.599693,NE,38043,3
ME,Bull Hill,-68.153702,44.70179,NE,8319,10
NY,Noble Bliss,-78.254898,42.522991,NE,37700,3
ME,Bull Hill,-68.1623,44.730789,NE,8325,10
ME,Bull Hill,-68.15100100000001,44.735291,NE,8315,10
NY,Munnsville,-75.562599,42.952991,NE,36922,6
NY,Noble Clinton,-74.0037,44.908092,NE,37802,2
ME,Oakfield Wind,-68.094864,46.095619,NE,39129,4
MD,Criterion,-79.327896,39.379494,NE,13667,9
ME,Stetson,-67.977501,45.522289,NE,54212,4
MD,Criterion,-79.27268199999997,39.421104,NE,13659,9
ME,Oakfield Wind,-68.076759,46.071251,NE,39125,4
NY,Noble Ellenburg,-73.999001,44.87479,NE,37851,2
ME,Stetson,-67.974998,45.545391,NE,54224,4
NY,Noble Chateaugay,-74.02109499999997,44.877392,NE,37750,2
ME,Mars Hill,-67.814903,46.535091,NE,33377,4
NY,Maple Ridge (Lowville),-75.635597,43.821491,NE,33043,0
NY,Noble Altona,-73.6269,44.80439000000001,NE,37638,2
NY,Hardscrabble,-74.89119699999998,43.127491,NE,22894,6
NY,Noble Ellenburg,-73.977997,44.86869,NE,37875,2
MD,Roth Rock,-79.461899,39.259193,NE,48024,9
NY,Maple Ridge,-75.517799,43.721092,NE,32944,0
NY,Hardscrabble,-74.90439599999998,43.12258900000001,NE,22872,6
NY,Orangeville Wind,-78.264496,42.748291,NE,39654,3
MA,Hull Wind Phase II,-70.85659799999998,42.261192,NE,25586,8
NY,Munnsville,-75.541,42.947392,NE,36921,6
MA,Berkshire Wind,-73.274597,42.58989,NE,3480,7
MA,University of Massachussetts Dartmouth,-71.010597,41.62669,NE,58065,5
