state,name,lon,lat,region,ID,cluster
WA,Windy Point II,-120.86528799999999,45.704994,NW,61137,1
WA,Wild Horse I,-120.17968799999998,47.017693,NW,60229,2
WY,Rolling Hills,-105.83039099999999,43.121895,NW,47581,6
OR,Star Point,-120.42908500000001,45.525696,NW,53367,1
WY,Dunlap,-106.20799299999999,42.019394,NW,15680,0
ID,Rockland,-112.929787,42.703995,NW,47184,7
ID,Goshen North,-111.862587,43.457195,NW,20682,5
MT,Rim Rock,-112.04838600000001,48.825294,NW,46679,3
ID,Goshen North,-111.862885,43.416595,NW,20683,5
WY,Rock River I,-106.11428799999999,41.71468,NW,47128,0
WA,Stateline Wind Project,-118.83908799999999,46.021893,NW,53758,1
WY,Medicine Bow,-106.241867,41.833138,NW,34134,0
ID,Goshen North,-111.81968700000002,43.472393,NW,20697,5
OR,South Hurlburt,-120.06448400000001,45.703094,NW,52275,1
ID,Horse Butte,-111.760391,43.428593,NW,24903,5
WY,Seven Mile Hill I & II,-106.36608899999999,41.923393,NW,50245,0
ID,Mountain Home,-115.48038500000001,43.058193,NW,36552,7
WY,Glenrock,-105.808792,43.100193,NW,19727,6
OR,Stateline Wind Project,-118.80808300000001,45.995293,NW,53691,1
WA,Wild Horse I,-120.21278400000001,47.052094,NW,60224,2
WA,Big Horn,-120.26268799999998,45.900593,NW,3654,1
WA,Harvest Wind Farm,-120.436089,45.793293,NW,22975,1
OR,Star Point,-120.47178600000001,45.509594,NW,53368,1
WA,Wild Horse I,-120.18798799999999,47.045895,NW,60226,2
OR,Klondike III,-120.480286,45.580093,NW,28453,1
WA,Stateline Wind Project,-118.821487,46.036293,NW,53765,1
OR,Klondike III,-120.65798999999998,45.544994,NW,28456,1
WA,Windy Point I (Tuolomne Wind Project),-120.63748899999999,45.769695,NW,61040,1
OR,South Hurlburt,-120.06848899999999,45.713196,NW,52280,1
WY,Evanston (Wyoming Wind Energy Center),-110.727127,41.383713,NW,17273,9
OR,Biglow Canyon III,-120.53078500000001,45.615894,NW,4212,1
WA,Windy Point II,-120.78148700000001,45.72449500000001,NW,61161,1
OR,Stateline Wind Project,-118.802986,45.991592,NW,53611,1
OR,Hay Canyon,-120.58678400000001,45.507793,NW,23141,1
OR,Vansycle II,-118.59688600000001,45.895493,NW,58338,1
OR,Leaning Juniper II,-120.170189,45.595795,NW,29902,1
ID,Meadow Creek,-111.81369,43.572796000000004,NW,33715,5
OR,South Hurlburt,-120.06388899999999,45.700993,NW,52209,1
OR,Leaning Juniper II,-120.182686,45.588093,NW,29876,1
WY,Evanston (Wyoming Wind Energy Center),-110.781219,41.331055,NW,17262,9
WA,Juniper Canyon,-120.23368799999999,45.946692999999996,NW,27089,1
WA,Marengo I,-117.79758500000001,46.376095,NW,33194,1
WA,Big Horn,-120.297684,45.880295000000004,NW,3691,1
OR,Rattlesnake Road,-120.24578899999999,45.694294,NW,45666,1
WA,Wild Horse I,-120.19978300000001,47.013695,NW,60335,2
WA,Goodnoe Hills,-120.57168600000001,45.783394,NW,20419,1
WA,Windy Point II,-120.76138300000001,45.724995,NW,61167,1
WA,Lower Snake River Phase I,-117.81768799999999,46.471794,NW,32143,1
WA,Hopkins Ridge Wind Project,-117.80098000000001,46.445549,NW,24842,1
OR,Stateline Wind Project,-118.686089,45.985481,NW,53834,1
OR,Vansycle II,-118.63838999999999,45.913494,NW,58333,1
WA,Sagebrush (Kittitas Valley),-120.70718400000001,47.121193,NW,48889,2
OR,Leaning Juniper II,-120.28398899999999,45.658592,NW,29904,1
WY,Rolling Hills,-105.84378799999999,43.108994,NW,47366,6
OR,North Hurlburt,-120.07988700000001,45.744793,NW,38479,1
OR,Star Point,-120.52638200000001,45.464596,NW,53348,1
WY,Rolling Hills,-105.85649099999999,43.076294,NW,47595,6
WA,Marengo II,-117.86188500000002,46.352295,NW,33228,1
WY,Dunlap,-106.180687,42.004894,NW,15645,0
OR,Combine Hills II,-118.59398700000001,45.948994,NW,12992,1
OR,Stateline Wind Project,-118.770882,45.99575,NW,53832,1
WA,Lower Snake River Phase I,-117.85688799999998,46.510796,NW,32122,1
WY,Seven Mile Hill I & II,-106.411491,41.946692999999996,NW,50248,0
WA,Hopkins Ridge Wind Project,-117.793884,46.439793,NW,24831,1
WA,Hopkins Ridge Wind Project,-117.81918300000001,46.432896,NW,24836,1
OR,Willow Creek,-120.00358600000001,45.655994,NW,60717,1
WA,Wild Horse I,-120.213783,47.026196,NW,60342,2
ID,Cold Springs,-115.459084,43.050292999999996,NW,12749,7
WA,Goodnoe Hills,-120.478783,45.774296,NW,20392,1
OR,Biglow Canyon I,-120.61968200000001,45.688793,NW,4089,1
WA,Lower Snake River Phase I,-117.78958899999999,46.479694,NW,32041,1
OR,Leaning Juniper,-120.19668600000001,45.668896000000004,NW,29778,1
OR,Combine Hills I,-118.58575400000001,45.929951,NW,12936,1
OR,South Hurlburt,-120.00028200000001,45.607994,NW,52253,1
WA,Big Horn,-120.23278799999999,45.885895,NW,3638,1
MT,Horseshoe Bend/ranch pit,-111.43708799999999,47.497292,NW,25550,8
WY,Seven Mile Hill I & II,-106.43399,41.968094,NW,50249,0
WY,Dunlap,-106.20778700000001,42.003593,NW,15619,0
WA,Stateline Wind Project,-118.85888700000001,46.024796,NW,53797,1
WY,Top of the World,-105.733589,42.945293,NW,56680,6
WA,Vantage Point,-120.11848400000001,46.957394,NW,58376,2
WA,Lower Snake River Phase I,-117.79708899999999,46.494495,NW,32182,1
WA,White Creek,-120.338486,45.802994,NW,59970,1
WA,Linden,-120.798988,45.733795,NW,30550,1
OR,Stateline Wind Project,-118.77051499999999,45.992397,NW,53801,1
OR,Biglow Canyon III,-120.54438799999998,45.630795,NW,4258,1
OR,Klondike III,-120.55318500000001,45.612194,NW,28469,1
OR,Biglow Canyon I,-120.621788,45.677994,NW,4110,1
OR,Klondike III,-120.51848600000001,45.607494,NW,28536,1
ID,Rockland,-112.95018799999998,42.673491999999996,NW,47169,7
WA,Marengo I,-117.765984,46.386192,NW,33154,1
OR,Stateline Wind Project,-118.69578600000001,45.98181500000001,NW,53509,1
WA,Lower Snake River Phase I,-117.79638700000001,46.483295,NW,32166,1
MT,Rim Rock,-112.18728600000001,48.820892,NW,46721,3
OR,Willow Creek,-119.98998300000001,45.656395,NW,60714,1
OR,Vansycle I,-118.662819,45.938229,NW,58297,1
OR,Echo 1-7,-119.409683,45.696594,NW,15931,1
WA,Stateline Wind Project,-118.85498799999999,46.033493,NW,53819,1
MT,Musselshell II,-109.48998999999999,46.269394,NW,36952,4
WA,Hopkins Ridge Wind Project,-117.77428400000001,46.408091999999996,NW,24839,1
WY,Mountain Wind I,-110.52028700000001,41.285995,NW,36767,9
WA,Lower Snake River Phase I,-117.83288600000002,46.500195,NW,32081,1
WA,Linden,-120.770683,45.739094,NW,30561,1
WY,Top of the World,-105.760185,42.950993,NW,56674,6
WA,Wild Horse I,-120.17908500000001,47.016594,NW,60331,2
OR,Leaning Juniper II,-120.16848799999998,45.678894,NW,29825,1
OR,Willow Creek,-119.98148300000001,45.640919,NW,60697,1
WA,Vantage Point,-120.213783,46.953495000000004,NW,58411,2
MT,Big Timber,-109.666306,45.83541500000001,NW,4040,4
WY,High Plains,-105.982491,41.675391999999995,NW,23841,0
WA,Lower Snake River Phase I,-117.81868700000001,46.473793,NW,32118,1
WY,Dunlap,-106.211891,42.042590999999994,NW,15641,0
ID,Oregon Trail,-114.99028799999999,42.849396,NW,39708,7
WY,Dunlap,-106.152992,42.016495,NW,15676,0
OR,"Condon Wind Project, phase I",-120.27338400000001,45.249992,NW,13096,1
OR,Klondike IIIA,-120.52588700000001,45.55229600000001,NW,28590,1
WA,Hopkins Ridge Wind Project,-117.85438500000001,46.450195,NW,24847,1
MT,Two Dot,-110.09069099999999,46.455093,NW,57985,4
WA,Stateline Wind Project,-118.78108999999999,46.003994,NW,53411,1
MT,Big Timber,-109.648552,45.823952,NW,4041,4
WA,Windy Point II (Windy Flats),-120.779839,45.727936,NW,61176,1
WY,Dunlap,-106.209488,42.027294,NW,15665,0
WY,Top of the World,-105.78708600000002,42.916294,NW,56646,6
WA,Wild Horse II,-120.23328400000001,47.056194,NW,60355,2
OR,Biglow Canyon III,-120.588486,45.622494,NW,4250,1
WA,Nine Canyon II,-119.142288,46.104492,NW,37432,1
OR,Horseshoe Bend,-119.95888500000001,45.558395000000004,NW,25460,1
WA,Big Horn,-120.23208600000001,45.883194,NW,3694,1
ID,Meadow Creek,-111.81048600000001,43.537395000000004,NW,33701,5
OR,Stateline Wind Project,-118.78116599999998,45.975117,NW,53687,1
MT,Glacier Wind II,-112.21878799999999,48.540092,NW,19513,3
WA,Windy Point I (Tuolomne Wind Project),-120.582283,45.777992,NW,61056,1
MT,Glacier Wind II,-112.226685,48.559395,NW,19523,3
OR,Echo 1-7,-119.40028400000001,45.703293,NW,15943,1
OR,Elkhorn Valley (La Grande),-117.80278799999999,45.051094,NW,16756,10
WA,Stateline Wind Project,-118.82869,46.039394,NW,53750,1
OR,Combine Hills II,-118.544083,45.933292,NW,12991,1
OR,Rattlesnake Road,-120.22608899999999,45.708794,NW,45684,1
WA,Palouse,-117.35148600000001,47.119694,NW,40709,11
WY,Seven Mile Hill I & II,-106.38368999999999,41.944893,NW,50266,0
ID,Rockland,-112.87388600000001,42.702393,NW,47163,7
OR,Klondike I,-120.55173500000001,45.570479999999996,NW,28372,1
WY,Glenrock,-105.83238999999999,43.066395,NW,19682,6
WY,Evanston (Wyoming Wind Energy Center),-110.79819499999999,41.323833,NW,17301,9
WY,Rock River I,-106.09143799999998,41.727965999999995,NW,47145,0
WA,Windy Point II,-120.55378700000001,45.783195,NW,61168,1
OR,Stateline Wind Project,-118.76331299999998,45.988319,NW,53692,1
WA,Goodnoe Hills,-120.52408600000001,45.782092999999996,NW,20402,1
WA,Windy Point II,-120.789185,45.718094,NW,61130,1
WA,Sagebrush (Kittitas Valley),-120.67168400000001,47.156494,NW,48885,2
WA,Wild Horse I,-120.209488,47.039394,NW,60276,2
MT,Glacier I,-112.129089,48.523994,NW,19480,3
WY,Evanston (Wyoming Wind Energy Center),-110.824425,41.366703,NW,17315,9
OR,Horseshoe Bend,-120.026688,45.589794,NW,25502,1
WA,Harvest Wind Farm,-120.238983,45.771996,NW,22985,1
WA,Stateline Wind Project,-118.85358400000001,46.032191999999995,NW,53795,1
MT,Musselshell I,-109.475388,46.280994,NW,36946,4
ID,Cassia,-115.03669,42.844592999999996,NW,10422,7
OR,North Hurlburt,-120.089188,45.754795,NW,38468,1
